Step,Upstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,Metering Rate,Green Time,Yellow Time,Red Time
660,4,11.784760087525115,11.321553342757321,5,1700,15,3,2
680,4,41.18390109719172,16.212181116971653,4,1700,15,3,2
700,3,14.382270497932836,11.566483123645336,5,1700,15,3,2
720,5,25.89303044854745,27.77233957966132,6,1155.9362294237076,13,3,4
740,5,36.67323560765823,14.133410140921873,9,1566.5975195591764,15,3,2
760,3,25.805186210715192,24.572094110201686,9,1246.5509318450584,14,3,3
780,3,32.71426740136718,9.256115324694747,7,1700,15,3,2
800,3,37.7104985722724,6.779381019346904,6,1700,15,3,2
820,5,38.11613706835146,17.33670789177116,6,1700,15,3,2
840,2,34.535645761714306,25.54331480455403,5,1311.967963681218,15,3,2
860,5,16.120852514794137,28.006973797791563,4,751.4797978358085,8,3,9
880,3,32.47220050525357,18.849220565198266,5,832.0343582719299,9,3,8
900,0,22.702722220049054,15.695149386048493,7,1133.3739012485353,13,3,4
920,3,0.0,10.995477011626539,12,1700,15,3,2
940,3,12.617097948057676,0.0,12,1700,15,3,2
960,2,38.69751939188859,11.001535679184826,13,1700,15,3,2
980,3,11.810068185079103,18.81022083416421,14,1700,15,3,2
1000,5,11.405542013625336,22.918700847405187,13,1495.690940681637,15,3,2
1020,4,15.486840345344888,11.051196173447883,15,1700,15,3,2
1040,3,40.813435531390496,15.13702916732503,14,1700,15,3,2
1060,2,10.057319657161656,16.623535598068884,17,1700,15,3,2
1080,3,9.028185900533003,30.828588501140075,18,941.9988049201947,11,3,6
1100,2,31.012384258920633,9.435153466605092,18,1681.5380622578382,15,3,2
1120,3,19.884529790996908,16.460839180009163,18,1700,15,3,2
1140,4,21.467707311259687,30.012534247991123,16,999.1226026406214,11,3,6
1160,4,20.814466253952446,0.0,15,1700,15,3,2
1180,4,29.6698845625059,22.52441528448041,15,1523.2909300863714,15,3,2
1200,2,14.80206153342749,22.532482142965666,15,1346.0171800787748,15,3,2
