Step,Upstream Flow,Merging Area Flow,Downstream Flow,Upstream Occupancy,Merging Area Occupancy,Downstream Occupancy,Queue Length,TTTD,Sum Delay Sq,Total Waiting Time,Total Delay,Total Volume
81,360.0,540.0,180.0,7.847624934423673,14.092762032862183,0.0,5,,,,,
82,360.0,720.0,180.0,0.0,7.957765480261969,0.0,5,,,,,
83,360.0,720.0,360.0,0.0,0.0,10.631114285188895,5,,,,,
84,360.0,720.0,540.0,3.2782043641897,0.0,9.84201599778629,5,,,,,
85,720.0,720.0,720.0,15.135088029500801,0.0,9.717941803421107,4,,,,,
86,720.0,720.0,900.0,2.3118453228155054,0.0,9.17530731216516,4,,,,,
87,900.0,720.0,1080.0,3.699423357342605,0.0,3.1298358996262245,5,,,,,
88,900.0,900.0,1080.0,0.0,4.625520520185233,0.0,5,,,,,
89,900.0,900.0,1260.0,0.0,0.0,9.248541981189836,5,,,,,
90,900.0,900.0,1260.0,3.471517573416586,0.0,0.0,4,,,,,
91,1080.0,1080.0,1440.0,8.754190604304313,7.376929308551183,8.887328395943447,4,,,,,
92,1620.0,1080.0,1440.0,22.104983132760243,0.0,0.0,4,,,,,
93,1620.0,1260.0,1440.0,0.0,7.486843491360418,0.0,4,,,,,
94,1620.0,1440.0,1440.0,3.473053313418717,3.9549573038961228,0.0,5,,,,,
95,1800.0,1440.0,1440.0,3.678308950867404,0.0,0.0,5,,,,,
96,1800.0,1800.0,1620.0,0.0,13.537921268826025,11.543531259842629,5,,,,,
97,1800.0,1980.0,1800.0,5.99599151834506,3.2772007472733122,15.415537026583573,4,,,,,
98,2340.0,1980.0,1800.0,20.87328811482247,0.0,0.0,4,,,,,
99,0.0,0.0,180.0,1.6899612651698703,0.0,7.110963936246624,4,,,,,
100,360.0,360.0,360.0,13.729153059696367,10.826305768381417,18.7983956647372,4,,,,,
101,360.0,540.0,540.0,2.671077690883313,7.013509067488144,8.841895737680735,4,,,,,
102,540.0,540.0,720.0,4.606239967162888,0.0,7.149660458635765,4,,,,,
103,720.0,720.0,720.0,4.9404005299798825,10.419246230582857,0.0,4,,,,,
104,720.0,720.0,900.0,0.0,0.0,8.044222727722664,4,,,,,
105,720.0,900.0,1080.0,4.760469055635734,8.536717647749015,1.8439747383917886,3,,,,,
106,900.0,900.0,1080.0,5.224692562035689,0.0,0.0,3,,,,,
107,900.0,1440.0,1080.0,0.0,34.861174843840814,0.0,3,,,,,
108,900.0,1620.0,1260.0,0.0,6.707517142677943,7.6707536816892725,4,,,,,
109,1080.0,2160.0,1260.0,8.14146605566369,36.696731892628875,0.0,4,,,,,
110,1080.0,2160.0,1260.0,0.0,0.0,0.0,3,,,,,
