Step,Upstream Flow,Downstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,TTS
69,21,7,5.754285592957812,4.740712957570367,4,5125.248
70,22,8,5.841666006239818,4.953476448425991,4,5541.575
71,22,10,5.392307082682908,5.732940508782164,4,5820.360000000001
72,22,11,6.171465651748369,5.995615025089491,4,6615.915
73,24,11,6.002636721641963,5.595907356750192,5,7162.338000000001
74,25,12,6.286551250308436,5.507586975632665,5,7037.8640000000005
75,26,12,6.398196472416081,5.402842085819473,5,8397.936000000002
76,26,14,6.433639525087523,5.971821416521024,5,8228.829000000002
77,26,14,6.403583896446724,5.862743178761171,4,8517.815999999999
78,26,15,6.965041525079787,5.990562326703544,4,8218.35
79,1,0,3.142135676588609,0.0,4,8641.872000000001
80,3,1,20.730143433875092,3.729022605966037,5,9333.825
81,4,1,13.820095622583395,2.4860150706440245,4,9514.364000000001
82,4,2,10.365071716937546,3.7238055558010075,4,9297.825
83,4,4,8.292057373550037,6.522688450983101,4,9473.476
84,6,5,6.910047811291697,6.901496808813729,3,9328.2
85,7,6,5.922898123964313,7.217695152456557,3,9328.2
86,10,7,5.182535858468773,7.193546327803031,3,9189.912000000002
87,10,8,4.606698540861132,7.21282631428016,4,8981.555
88,12,8,4.1460286867750185,6.491543682852144,3,10608.000000000002
89,13,8,4.721406991617305,5.9014033480474035,3,10584.210000000001
90,14,8,4.895894865441175,5.409619735710121,3,10584.210000000001
91,16,8,4.519287568099546,4.993495140655495,3,10596.768000000002
92,19,8,4.6925450716967125,4.63681691632296,2,11356.2
93,20,8,4.379708733583598,4.3276957885680964,2,10881.144000000002
94,21,8,4.73694186786382,4.05721480178259,3,10771.966
95,22,8,5.403613425988894,3.8185551075600848,2,11038.000000000002
96,22,8,5.286906157619322,3.60641315714008,2,11200.518000000002
97,27,10,5.541657129474493,4.604953902786709,2,11200.518000000002
98,29,10,6.218149903060937,4.579859843701044,1,11200.518000000002
99,1,1,0.0,5.901166490962358,1,11525.264000000001
100,2,2,0.0,15.443863763535385,1,12097.092
101,3,3,7.597155829681294,13.229414771481943,1,12663.545999999998
102,5,3,8.067247467147975,9.922061078611458,1,12820.455999999998
103,5,5,7.197320181105198,12.743377979933825,1,12820.455999999998
104,6,5,9.993565025778986,10.619481649944854,1,13468.182
105,7,6,10.535969061779683,10.705744191045461,1,13620.048
106,7,6,10.818636123848835,9.367526167164778,1,13769.301000000001
107,7,7,10.731938551643616,9.355398115200138,0,13769.301000000001
108,7,7,12.455605744096836,8.419858303680124,1,13991.054000000004
109,7,7,12.660279017337862,7.654416639709204,1,13991.054000000004
110,9,7,12.102276824266916,7.016548586400103,1,13734.426000000001
111,9,8,11.26847909503681,7.152046989521629,1,14732.160000000003
112,11,8,11.518984352829724,6.641186490270084,1,14811.360000000002
113,12,9,11.744099121930299,6.428680329913668,1,14819.616000000004
114,13,10,11.010092926809655,7.369776068389704,1,14897.376000000004
115,16,12,10.700220079049734,8.445423666476701,1,14902.848000000002
116,18,12,10.350494758981712,8.052771129944919,2,15135.686000000003
117,19,15,10.265271721068121,9.294324140423313,2,15238.215
118,19,15,9.752008135014716,9.574478753270816,2,14813.255000000001
119,0,2,0.0,19.604522667908952,2,15284.736
120,2,3,0.0,20.69488687239011,1,15664.800000000003
121,2,5,2.248348913625146,20.30163454746719,1,15986.667000000001
122,4,6,1.6862616852188594,21.119175807579182,1,15986.667000000001
123,5,7,2.767123402781735,18.546848615322443,2,16962.4
124,6,9,2.305936168984779,20.349615137879656,2,16962.4
125,6,10,3.5222798592157183,19.240569600670334,1,17065.2
126,6,12,3.081994876813754,19.8433784591512,1,17386.443000000003
127,8,12,7.28279527399754,17.638558630356624,1,17073.8
128,8,12,7.7600858268727535,15.87470276732096,1,16868.709000000003
129,8,14,7.863112305880678,16.06986443381992,1,16868.709000000003
130,10,14,7.2078529470572885,15.522948226684681,1,17715.500000000004
131,11,16,7.296987661212302,15.688566079869013,2,18034.055000000004
132,12,17,6.775774256839995,16.466856095315176,2,17389.9
133,12,17,6.324055973050662,15.698269628386186,2,16814.358
134,14,17,6.233437359429539,14.717127776612047,2,16393.146
135,14,17,6.114267650101869,13.85141437798781,2,16655.579
136,14,17,5.774833019030408,13.081891356988487,2,17950.66
137,17,18,6.2438416599985125,12.947997784354245,3,18885.933000000005
138,19,18,5.931649576998588,12.300597895136534,3,18516.316000000006
139,2,3,9.778852941153104,31.339674167330145,3,19205.354000000003
140,4,3,8.322002714590582,15.669837083665072,2,18937.795000000006
141,6,4,5.5480018097270545,13.671752665816129,2,20086.668000000005
142,8,4,4.161001357295291,10.253814499362099,2,20086.668000000005
143,9,4,3.3288010858362327,8.203051599489678,2,20182.022000000004
144,12,5,3.918634383971546,8.00207289581828,3,20387.961000000007
145,14,6,3.3588294719756107,8.39836893784206,3,21925.080000000005
146,15,6,2.9389757879786593,7.348572820611802,2,21925.080000000005
147,16,6,3.3090734184875874,6.5320647294327125,2,22105.100000000002
148,19,8,2.9781660766388285,7.776533103048564,1,22931.949000000008
149,20,9,3.9976017717814925,7.10518284531197,1,22636.900000000005
150,21,9,3.701476675024296,8.11868984321625,1,22267.080000000005
151,22,10,3.4167477000224267,8.430667831817628,1,23974.100000000006
152,23,10,3.1726942928779676,7.828477272402083,2,24542.200000000008
153,25,11,3.139919968839517,7.955662238938682,2,24960.90000000001
154,27,11,4.117722264472201,7.458433349005015,2,24829.398000000012
155,27,12,5.194588670711235,7.558146966302633,2,27379.048000000003
156,29,12,6.006956359786466,7.1382499126191545,2,27423.544000000005
157,30,13,6.075900969380923,7.220264642825612,2,27965.391999999996
158,31,13,6.270990386435074,6.859251410684332,2,28082.6
159,1,1,11.862165296750504,2.5645682916831447,3,28415.625
160,4,1,16.896283708715742,5.082776167877512,3,28957.928000000004
161,6,1,15.764202639147129,3.3885174452516744,3,28957.928000000004
162,7,1,19.027884687139718,2.541388083938756,2,29292.676000000007
163,9,1,17.255284644965343,2.0331104671510047,2,28596.435000000005
164,12,2,16.362375668073405,2.0901363337314494,2,28517.16
165,13,2,14.958233285213396,2.5702071038461143,2,28183.167999999998
166,16,2,17.4284484155387,2.24893121586535,3,29348.007999999998
167,18,3,15.71817379423774,2.7597093998657054,3,30207.704999999998
168,22,3,17.256992116016008,2.7354181407030373,3,32503.020000000004
169,23,3,16.83408782523973,2.4867437642754884,2,31678.992000000002
170,25,3,15.43124717313642,2.279515117252531,2,32444.395000000004
171,27,3,16.698295210524023,2.104167800540798,1,32444.395000000004
172,29,3,15.505559838343736,1.9538701005021695,1,31109.822000000004
173,31,3,14.956347389773773,1.8236120938020246,2,31422.168
174,33,3,14.585155238189929,1.7096363379393982,1,32509.032
175,35,4,13.72720493006111,2.660176976734604,1,33607.31
176,37,5,15.251063546971563,2.6781706572479003,1,33607.31
177,38,6,15.06557998072919,3.3968809768468913,1,35843.564999999995
178,38,7,14.505481798603448,4.011629399858947,1,37086.56
179,0,1,15.243302768961797,22.936451613039328,1,38342.70800000001
180,1,2,7.621651384480899,21.123868863568873,2,39021.570000000014
181,2,3,9.75338150752473,17.984809784805595,2,41722.55100000001
182,3,5,15.081585406773357,21.51760283394637,2,43034.836
183,4,5,13.106740990812398,18.61153771178711,2,47499.50400000001
184,4,7,12.898784762831639,19.33244328475452,2,47498.50400000001
185,4,8,13.103842499730487,20.86142991942638,2,47498.50400000001
186,5,8,13.197022957933324,18.253751179498085,2,47498.50400000001
187,6,11,12.205452957342544,20.267727841894715,2,47498.50400000001
188,8,11,11.153367453045675,20.283292917823985,2,47986.236000000004
189,11,13,11.810596332373859,20.74772230879446,2,49483.06800000001
190,12,14,10.826379971342703,21.32362068933757,2,49483.06800000001
191,15,15,10.56355817543343,19.93777996088769,1,49483.06800000001
192,16,15,10.755939367236575,19.290607272085463,1,55054.11900000001
193,18,16,11.72172510229463,18.17086639900885,1,55054.11900000001
194,19,16,11.889274534484784,17.76909463144894,1,55874.920000000006
195,22,16,12.987531886433935,16.723853770775474,1,56391.68000000001
196,22,18,15.039226258174981,16.777913291205685,0,54663.46200000001
197,24,18,14.303536058143646,16.53192707750587,0,56462.676
198,24,20,14.068630386778658,17.13220776339014,0,59418.496
199,2,1,44.147274556974736,17.248664081186387,0,61129.359
200,2,3,14.245553706065905,20.429223932819696,0,63905.009999999995
201,3,4,14.072754059967469,21.096053501224787,0,63224.70599999999
202,4,4,17.607652768117177,17.00081237041573,1,68259.048
203,5,6,19.08612221449374,17.21285552184857,1,69635.47499999999
204,6,7,21.569198708673675,18.62012483263192,1,68423.52699999999
205,7,8,20.377052438160042,18.00337988067746,1,66798.393
206,8,9,17.829920883390038,17.893555233158054,1,66226.944
207,10,9,20.091207348892382,15.905382429473825,1,68844.075
208,10,10,19.790905036839206,16.005461404115902,1,69885.23400000001
209,13,10,19.05664175909856,14.550419458287182,2,70542.876
210,15,12,17.927774071497637,15.292064494151623,2,70542.876
211,18,13,16.54871452753628,15.26274811134862,2,69354.065
212,19,14,16.55854104288887,14.800071508624393,1,72975.042
213,20,14,16.028440612627627,14.191045416306892,1,73982.532
214,20,14,16.287187212428034,13.304105077787712,1,73229.82400000001
215,21,15,16.76894797775516,13.56606873511378,1,71877.20400000001
216,22,15,15.837339756768761,12.812398249829679,2,74455.42400000001
217,22,16,15.00379555904409,12.74845310101024,2,73275.804
218,22,16,15.077565259485262,12.342919656057441,1,77430.40000000002
219,0,3,0.0,28.650419483945672,1,76806.82800000002
220,0,3,1.5520873705131777,26.552761752680947,1,81554.57400000002
221,1,4,11.930579092940736,20.670959671339045,1,87077.64
222,3,6,8.947934319705553,24.452714528366215,1,87869.55999999998
223,5,7,10.6265222342752,20.121572119477946,1,86462.89499999999
224,6,7,8.855435195229333,18.821496115324504,2,91679.18199999997
225,6,7,7.590373024482286,16.13271095599243,2,90186.88799999999
226,8,9,6.641576396422,17.457873236145478,2,90186.88799999999
227,9,9,5.9036234634862215,15.518109543240428,2,92525.25799999996
228,11,10,5.3132611171376,15.161150764181173,2,92525.25799999996
229,12,10,4.830237379215999,13.782864331073794,2,94332.86399999997
230,14,11,5.237497688997017,13.728495991011869,2,94332.86399999997
231,16,11,6.278023665365687,12.67245783785711,2,93437.95499999997
232,18,12,8.223343596295152,12.642271535766133,3,94347.68799999998
233,22,13,8.203287787694222,13.143114533346155,3,96519.68399999998
234,23,14,8.210172048791176,13.140939495884219,3,94638.184
235,26,16,8.805867712342355,13.965988695577762,3,97688.505
236,27,17,8.898183005367086,15.018449389403193,2,95419.67799999999
237,30,17,8.429857584031975,14.22800468469776,2,94723.184
238,31,19,8.368545937239134,15.22864205166646,3,95214.17799999999
239,4,0,0.0,0.0,3,96230.712
240,4,2,4.41263637565541,13.629671112170646,3,94824.824
241,6,3,2.941757583770273,20.197558519224874,3,93340.60799999998
242,7,4,8.610228276584841,20.229099947169022,3,94754.17299999998
243,9,4,11.103537171216828,16.18327995773522,3,93821.096
244,9,6,11.427913763730993,17.40278750402366,3,92440.70999999999
245,9,7,14.443254512719303,18.24206111812565,3,95968.78799999999
246,11,8,12.63784769862939,18.844978187254096,3,95968.78799999999
247,11,9,14.172857052372006,17.391649468480086,2,93395.824
248,13,9,14.502734546661173,16.168283627512967,3,94520.958
249,13,10,14.49893286608221,15.056739376032107,3,96538.17599999999
250,15,10,14.108604031611746,14.327370130814563,2,95368.30299999999
251,15,11,13.5571676957311,13.688182745236496,2,99979.17999999996
252,17,11,13.387545786556185,12.956334589596674,3,102827.29599999996
253,17,11,12.495042734119103,12.09257895029023,3,101771.97399999996
254,19,12,14.350143966904394,11.879561171614364,3,102905.80299999994
255,19,13,14.90142791078647,11.934002181025653,3,101435.28599999995
256,21,14,14.212949314680165,12.263804757086527,3,101435.28599999995
257,22,16,14.151808260552013,12.5986809636089,3,104141.66399999993
258,25,16,13.888830280373838,11.968746915428454,3,102695.44999999995
259,2,0,0.0,0.0,3,102695.44999999995
260,5,0,9.922750020627547,0.0,4,105174.01999999993
261,7,1,6.615166680418365,3.0814758359876273,4,107267.88399999993
262,10,1,6.944798882376446,2.3111068769907206,4,105880.86599999994
263,12,3,6.74567269069712,5.817374234506663,4,105722.98799999994
264,14,3,6.325825073591318,6.734177442495416,4,105722.98799999994
265,15,4,7.419913158729636,8.151200009891248,3,105488.37599999995
266,18,5,9.28528440407046,9.8824477860641,3,107844.56099999994
267,21,7,10.659140849123755,12.19719785587156,3,107844.56099999994
268,23,8,9.59322676421138,11.22225964494684,4,110069.33599999995
269,25,10,9.664542983242733,14.270812282161799,4,109264.49999999996
270,26,10,10.167404875053638,14.168202629827121,4,111909.54399999998
271,28,11,9.987529710793499,13.617979655169586,4,111889.48
272,30,13,10.329000812420169,16.275568714644212,4,113949.83600000001
273,32,13,10.182341796272755,15.277917782659388,4,113949.83600000001
274,35,16,9.97528868930333,17.396657931873822,3,113083.58600000002
275,36,16,9.49682934206334,16.373325112351832,4,112328.77500000002
