Step,Upstream Flow,Downstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,TTS
0,0.0,0.0,0.0,0.0,1,0.0
20,0.0,180.0,0.0,3.5549289022290154,2,0.0
40,0.0,180.0,3.55387557824951,3.343753685079894,2,0.0
60,540.0,180.0,2.738038187002978,3.1690096522267432,3,0.0
80,540.0,180.0,10.403154219733679,3.956457177259646,4,0.0
100,180.0,360.0,5.073964564564548,12.255294054084942,2,0.0
120,360.0,180.0,0.0,4.791493517503416,2,0.0
140,720.0,180.0,6.32292488538333,5.974824597117845,2,0.0
160,900.0,540.0,8.034591501402133,8.593247459640926,3,0.0
180,540.0,180.0,8.610736482941661,11.321340964010554,3,0.0
200,360.0,360.0,14.743748600291084,12.397419044261445,2,0.0
220,0.0,540.0,2.8732320520340693,12.74952957244532,2,0.0
240,900.0,360.0,13.902563373956767,14.846342240557911,3,0.0
260,540.0,360.0,4.725764199421434,13.642014069025285,3,0.0
280,540.0,540.0,0.0,26.19694846174904,3,0.0
300,720.0,0.0,17.892593919878408,0.0,4,0.0
320,900.0,180.0,15.131056630308848,4.281325523579464,3,0.0
340,900.0,180.0,22.86928037609499,4.311415744220426,4,0.0
360,360.0,360.0,16.089459735737677,15.97076417221217,4,0.0
380,720.0,180.0,22.080373768203998,11.429322563284927,7,0.0
400,720.0,360.0,39.186952058081914,17.800002653657998,8,0.0
420,540.0,540.0,24.642277735539864,29.077147575095335,9,0.0
440,540.0,540.0,17.576460341610556,27.234523530387378,11,0.0
460,720.0,360.0,6.705665612069112,6.140854595151761,11,0.0
480,720.0,360.0,20.92522080703816,7.515898446271763,11,0.0
500,540.0,360.0,18.86928566615964,8.702603011547202,10,0.0
520,540.0,180.0,20.682446574004132,16.415429740156167,11,0.0
540,360.0,180.0,12.719138035954813,7.5965591333139555,9,0.0
560,540.0,360.0,14.960711049640452,16.10012364757078,9,0.0
580,360.0,540.0,0.6522398797073947,26.902034325972107,8,0.0
600,900.0,540.0,18.68715817226274,20.523864064830377,7,0.0
620,720.0,360.0,18.211612359360174,14.480595715925423,9,0.0
640,720.0,360.0,25.507843070370484,19.444312952682214,10,0.0
660,900.0,360.0,27.986841395824058,15.067994153429254,12,0.0
680,720.0,360.0,17.020948906369426,15.774487943362677,11,0.0
700,720.0,540.0,22.9696669331517,21.485131321217448,11,0.0
720,0.0,540.0,0.7207778541427956,32.73549890027615,9,0.0
740,540.0,360.0,21.282108420183476,22.19777224542933,8,0.0
760,540.0,540.0,1.1047850523311809,11.43952486918541,9,0.0
780,360.0,540.0,13.880820135075567,28.295608639361564,9,0.0
800,540.0,0.0,25.653979450719078,0.0,8,0.0
820,360.0,360.0,15.531983863658638,18.953043400701592,7,0.0
840,900.0,360.0,26.551570106289546,13.635940021977907,8,0.0
860,540.0,360.0,8.024433204830927,21.35331610547458,8,0.0
880,360.0,540.0,13.377150381525382,32.50868937655961,8,0.0
900,900.0,360.0,38.04384220746471,20.410840227780607,7,0.0
920,900.0,360.0,19.552765404432648,21.790766682130425,9,0.0
940,540.0,360.0,29.562980577034637,15.41070091610095,12,0.0
960,720.0,180.0,3.585537160046215,6.688058769051016,12,0.0
980,720.0,540.0,12.757421991157969,19.995292752446403,12,0.0
1000,540.0,540.0,22.50321473364778,38.18693499010427,16,0.0
1020,540.0,360.0,31.6480478929563,21.21630819694739,18,0.0
1040,900.0,180.0,32.135034891734904,9.491970092093046,16,0.0
1060,540.0,180.0,30.345443067474775,17.90427415613749,15,0.0
1080,720.0,360.0,40.64138947857998,18.667495643614984,16,0.0
1100,540.0,540.0,13.177312266296326,27.75661392799596,14,0.0
1120,360.0,540.0,20.40912528647425,15.794530513384567,14,0.0
1140,1080.0,360.0,5.702488806369388,15.552455555901664,14,0.0
1160,720.0,540.0,0.0,27.522947666060798,16,0.0
1180,360.0,540.0,20.36858928854315,25.66822703303539,16,0.0
1200,540.0,360.0,5.298526337699627,18.940281726152836,15,0.0
1220,720.0,360.0,31.62545212761927,7.72729246397527,17,0.0
1240,540.0,360.0,14.52726241781761,14.83470827201169,16,0.0
1260,720.0,360.0,9.323802479906362,14.683489087614513,15,0.0
1280,540.0,360.0,10.630176648436418,21.640712576936494,17,0.0
1300,720.0,540.0,20.128655800186834,17.177359567809464,16,0.0
1320,720.0,360.0,16.433649243961668,35.299530343039955,15,0.0
1340,720.0,360.0,5.90414096103018,17.198216482643147,16,0.0
1360,720.0,360.0,17.366551734880886,12.458186867741006,16,0.0
1380,720.0,540.0,6.9999571756540035,19.726365901817644,16,0.0
1400,360.0,180.0,17.420308038447274,4.294690249207633,13,0.0
1420,900.0,360.0,19.086032024875976,16.512928963584272,14,0.0
1440,720.0,540.0,12.783250560377724,10.036129483353307,14,0.0
1460,900.0,180.0,8.46001480780103,12.877929431829216,15,0.0
1480,900.0,360.0,23.647815157673335,10.102080197399724,14,0.0
1500,360.0,360.0,6.101315516349359,33.59320506499065,15,0.0
1520,720.0,540.0,21.13017313686214,30.620934872429945,14,0.0
1540,540.0,540.0,10.58595537583642,14.256169938407007,13,0.0
1560,720.0,360.0,5.08759934576517,9.417170155791155,17,0.0
1580,720.0,360.0,21.222948122039043,29.008490099954543,15,0.0
1600,720.0,540.0,29.56838774071855,22.293325905889105,15,0.0
1620,720.0,360.0,7.406224233770331,19.598752551238857,15,0.0
1640,540.0,180.0,6.335169124903928,10.413139043100728,15,0.0
1660,1080.0,360.0,7.572107011006324,12.913559788315373,18,0.0
1680,900.0,360.0,16.688677228506776,9.911446155168354,16,0.0
1700,900.0,180.0,25.714701550734276,8.912686469159325,15,0.0
1720,720.0,540.0,33.3339264511352,23.446651345739156,15,0.0
1740,540.0,360.0,14.033769048347722,26.821752769668212,16,0.0
1760,900.0,360.0,37.273978094319205,9.879764154159906,16,0.0
1780,540.0,360.0,22.609733067918114,11.961308948586217,18,0.0
