Step,Upstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,Metering Rate,Green Time,Yellow Time,Red Time
1740,0,6.3670528505753055,23.550471597745098,12,1700,15,3,2
1760,0,18.54291314576244,0.0,11,1700,15,3,2
1780,1,13.459793197816339,20.490550125938018,12,1700,15,3,2
1800,4,3.4803819696804794,16.42082631105571,9,1700,15,3,2
1820,4,14.50361582772075,4.214134812745367,12,1700,15,3,2
1840,5,4.292097399371642,11.295909427148368,11,1700,15,3,2
1860,4,4.728245165142653,13.19940017145124,12,1700,15,3,2
1880,4,12.231937803622372,11.113920751904516,12,1700,15,3,2
1900,2,20.53744014889105,4.572915995080014,9,1592.3791895776264,15,3,2
1920,2,4.057890287552368,14.937359865109556,11,1700,15,3,2
1940,2,10.987757583905022,5.480947835500653,11,1700,15,3,2
1960,4,0.0,10.633279035202273,11,1700,15,3,2
1980,3,4.805116867913739,13.402890756348521,12,1700,15,3,2
2000,2,0.0,0.0,11,1700,15,3,2
2020,0,11.959901317084132,16.84074036874108,10,1700,15,3,2
2040,1,0.0,10.235296093890156,11,1700,15,3,2
2060,4,23.937289298459064,8.859712998507044,10,1354.3897491078656,15,3,2
2080,2,0.0,23.83653408293564,10,1700,15,3,2
2100,2,7.472117777467702,10.97750907892987,11,1700,15,3,2
2120,2,9.033768656820484,0.0,9,1700,15,3,2
2140,1,0.0,5.1311539562145,12,1700,15,3,2
2160,2,22.235606889137216,0.0,11,1473.5075177603949,15,3,2
2180,5,4.415041743715165,9.756389560250986,11,1700,15,3,2
2200,5,11.666594869427627,11.638030208124897,10,1700,15,3,2
2220,6,9.83312378070309,11.478655991701695,12,1700,15,3,2
2240,1,28.01485089265725,5.93594063918772,13,1068.9604375139925,12,3,5
2260,3,3.665457890451762,20.15189475792643,11,1700,15,3,2
2280,3,13.029283411964343,13.019375712057505,11,1700,15,3,2
2300,0,16.81379910277201,16.623230531877198,11,1700,15,3,2
2320,3,0.0,5.425972369622893,8,1700,15,3,2
2340,0,21.02203839455683,4.7217031305156825,11,1558.457312381022,15,3,2
2360,4,18.616757178256194,28.866910749062907,12,1585.2843099030883,15,3,2
2380,4,5.1357183719233035,12.682974146544742,11,1700,15,3,2
2400,2,25.546295739269453,11.310538055818142,11,1241.7592982511383,14,3,3
2420,4,21.710989846917528,13.129806384055579,11,1051.9900089669113,12,3,5
2440,2,14.732737072483815,14.083971672160564,10,1350.6984138930443,15,3,2
2460,2,0.0,31.252380663742468,10,1700,15,3,2
